customer_id,age,gender,subscription_type,tenure_months,monthly_spend,support_tickets,avg_session_time,customer_feedback,churn
85714623.0,34.0,M,Standard,12.0,45.5,3.0,30.5,Great service but needs more features.,0.0
29547381.0,28.0,F,Premium,24.0,150.0,1.0,75.2,Love the content offerings!,0.0
33416294.0,45.0,M,Standard,9.0,50.0,6.0,35.0,"Not bad, but slow response times.",1.0
19486372.0,55.0,F,Premium,36.0,180.0,0.0,90.0,Best service I've used so far!,0.0
87126314.0,22.0,M,Standard,2.0,30.0,8.0,20.0,I might consider leaving soon.,1.0
77781256.0,39.0,F,Standard,15.0,48.3,4.0,60.5,The app crashes frequently when used.,1.0
45612378.0,30.0,M,Premium,10.0,120.0,0.0,100.0,Excellent value for money!,0.0
12574386.0,26.0,F,Basic,1.0,20.0,10.0,12.0,I am not satisfied with my plan.,1.0
64319275.0,41.0,M,Premium,48.0,200.0,1.0,110.0,Fantastic experience overall!,0.0
32454718.0,60.0,F,Basic,3.0,25.5,2.0,22.3,Could use more updates.,0.0
91387542.0,19.0,M,Standard,2.0,40.0,7.0,30.0,Not worth the price I pay.,1.0
56238147.0,29.0,F,Standard,27.0,52.5,5.0,43.0,"Decent service, needs improvements.",0.0
83817429.0,31.0,M,Premium,6.0,175.0,0.0,80.0,"Love it, no complaints here!",0.0
21638476.0,47.0,F,Standard,22.0,70.0,9.0,50.4,Customer support is lacking.,1.0
45782139.0,50.0,M,Basic,12.0,15.99,12.0,10.0,The content is outdated.,1.0
89065431.0,34.0,F,Premium,30.0,160.0,1.0,95.1,"Very good overall, keep it up!",0.0
86945321.0,25.0,M,Basic,1.0,10.0,15.0,5.0,"Not impressed, I might cancel.",1.0
14725836.0,32.0,F,Premium,40.0,190.0,2.0,100.0,Excellent and reliable service!,0.0
97865124.0,21.0,M,Standard,5.0,45.0,8.0,25.0,"Could be better, I'm considering options.",1.0
75315982.0,38.0,F,Basic,18.0,20.5,3.0,15.9,Basic features are too limited.,1.0
63549821.0,44.0,M,Premium,28.0,160.0,1.0,90.0,"Great value, highly recommend!",0.0
51974863.0,33.0,F,Standard,3.0,35.0,6.0,27.0,Not as good as advertised.,1.0
85213469.0,37.0,M,Standard,15.0,55.0,5.0,60.0,Satisfactory service but needs improvement.,0.0
39475621.0,29.0,F,Basic,2.0,22.0,14.0,12.0,Very disappointed with the content.,1.0
72849130.0,49.0,M,Premium,41.0,200.0,2.0,115.0,Top-notch entertainment and support.,0.0
17549382.0,26.0,F,Basic,4.0,18.0,10.0,8.5,I feel it lacks variety.,1.0
84671506.0,39.0,M,Premium,35.0,125.0,0.0,110.0,Constantly impressed with updates.,0.0
13287495.0,45.0,F,Standard,24.0,70.0,8.0,33.2,"Service is acceptable, nothing special.",1.0
91234756.0,23.0,M,Basic,1.0,15.5,12.0,10.0,Almost ready to leave this service.,1.0
38546712.0,58.0,F,Premium,48.0,180.0,2.0,98.0,Incredible choices of content!,0.0
63427584.0,40.0,M,Standard,14.0,60.0,7.0,44.5,The response time is frustrating.,1.0
95026317.0,34.0,F,Premium,12.0,145.0,0.0,85.0,Best streaming service I've had!,0.0
18476253.0,30.0,M,Standard,3.0,50.0,5.0,32.8,"Could improve, but still good service.",0.0
24687153.0,19.0,F,Basic,2.0,12.5,11.0,15.0,I expected much better quality.,1.0
48296573.0,51.0,M,Premium,36.0,190.0,1.0,100.0,"Always satisfied, keep it going!",0.0
76382914.0,22.0,F,Basic,1.0,30.0,9.0,20.0,Not very user-friendly experience.,1.0
82715369.0,39.0,M,Premium,45.0,200.0,2.0,110.0,Absolutely love the features!,0.0
68312975.0,27.0,F,Standard,18.0,55.0,6.0,36.0,Okay service but not great value.,1.0
39486271.0,33.0,M,Basic,3.0,15.99,10.0,9.5,Really lackluster experience.,1.0
72038324.0,50.0,F,Premium,37.0,175.0,0.0,105.0,Service is unbeatable for the price!,0.0
16378429.0,26.0,M,Standard,21.0,62.0,4.0,30.3,"Decent, but I want more options.",1.0
46812509.0,41.0,F,Standard,5.0,45.5,3.0,29.4,Nice service but needs more engaging content.,0.0
12345678.0,25.0,M,Standard,3.0,50.0,3.0,30.5,Great service but needs more options.,0.0
23456789.0,32.0,F,Premium,12.0,150.0,1.0,60.0,"Love it, highly recommend to friends!",0.0
34567890.0,45.0,M,Basic,2.0,30.0,7.0,25.3,Not satisfied with the content available.,1.0
45678901.0,28.0,F,Standard,15.0,75.0,0.0,45.0,Very good experience overall.,0.0
56789012.0,38.0,M,Premium,24.0,100.0,4.0,80.0,Best service in the market!,0.0
67890123.0,22.0,F,Basic,1.0,20.0,12.0,15.0,Too basic for my needs.,1.0
78901234.0,30.0,M,Premium,36.0,200.0,1.0,90.0,Top-notch quality and service.,0.0
89012345.0,50.0,F,Standard,5.0,65.0,9.0,35.4,Support could be improved.,1.0
90123456.0,27.0,M,Basic,2.0,25.0,8.0,20.0,Disappointing content and service.,1.0
12345679.0,35.0,F,Premium,48.0,180.0,1.0,110.0,Absolutely love this service!,0.0
23456780.0,21.0,M,Standard,4.0,45.0,10.0,50.5,Not enough variety in shows.,1.0
34567891.0,40.0,F,Basic,7.0,35.0,3.0,30.0,"Okay service, nothing special.",0.0
45678902.0,29.0,M,Premium,16.0,120.0,2.0,75.0,Fantastic! I'm a happy subscriber.,0.0
56789013.0,31.0,F,Standard,8.0,55.0,6.0,40.5,Help was slow to respond.,1.0
67890124.0,48.0,M,Basic,3.0,30.0,20.0,10.0,Very little value for the price.,1.0
78901235.0,39.0,F,Premium,37.0,190.0,1.0,100.0,"Great content, love the updates!",0.0
89012346.0,26.0,M,Basic,1.0,15.0,5.0,12.0,Barely meets my expectations.,1.0
90123457.0,24.0,F,Premium,20.0,170.0,0.0,95.0,Best investment I've made!,0.0
12345680.0,34.0,M,Standard,6.0,60.0,10.0,35.0,Needs more customer support.,1.0
23456781.0,46.0,F,Basic,2.0,18.0,9.0,15.4,Regretting my subscription.,1.0
34567892.0,43.0,M,Premium,15.0,140.0,3.0,85.0,Incredible value for money!,0.0
45678903.0,33.0,F,Standard,2.0,48.0,12.0,20.5,"Not worth the price, very limited.",1.0
56789014.0,28.0,M,Basic,1.0,22.0,6.0,15.0,Will likely cancel soon.,1.0
67890125.0,37.0,F,Premium,30.0,160.0,1.0,105.0,Super satisfied with everything.,0.0
78901236.0,29.0,M,Standard,10.0,55.0,8.0,50.0,"Average experience, might leave.",1.0
89012347.0,30.0,F,Basic,3.0,20.0,5.0,25.0,Very few interesting options available.,1.0
90123458.0,35.0,M,Premium,23.0,200.0,2.0,95.0,"Amazing service, highly recommended!",0.0
12345681.0,21.0,F,Standard,5.0,45.0,4.0,40.5,"Satisfactory service, could improve.",0.0
23456782.0,40.0,M,Basic,4.0,35.0,11.0,30.0,"Not what I expected, disappointed.",1.0
34567893.0,27.0,F,Premium,18.0,180.0,0.0,100.0,"Consistently excellent, love it!",0.0
45678904.0,32.0,M,Standard,13.0,70.0,3.0,50.5,Support could be more responsive.,1.0
56789015.0,44.0,F,Basic,3.0,24.0,9.0,15.0,"Decent, but too many ads.",1.0
67890126.0,46.0,M,Premium,12.0,155.0,1.0,80.0,Highly valuable service for me.,0.0
78901237.0,19.0,F,Standard,2.0,40.0,15.0,20.0,Frustrated with recurring issues.,1.0
89012348.0,30.0,M,Basic,1.0,28.0,5.0,10.0,Not what I thought it would be.,1.0
90123459.0,36.0,F,Premium,40.0,190.0,1.0,105.0,"Flawless experience, super happy!",0.0
12345682.0,29.0,M,Standard,6.0,50.0,6.0,35.5,Could use faster updates on content.,1.0
23456783.0,38.0,F,Basic,3.0,15.0,7.0,12.5,"Very limited selections, not good.",1.0
34567894.0,31.0,M,Premium,11.0,175.0,2.0,90.0,Amazing selection and quality!,0.0
45678905.0,22.0,F,Standard,4.0,45.0,4.0,30.0,"Service is okay, I guess.",1.0
56789016.0,27.0,M,Basic,2.0,25.0,8.0,17.0,"Unsatisfied, switching soon.",1.0
67890127.0,47.0,F,Premium,14.0,165.0,0.0,100.0,Exceptional service every time!,0.0
78901238.0,33.0,M,Standard,5.0,57.0,10.0,40.0,Good but could be better.,1.0
89012349.0,41.0,F,Basic,3.0,22.0,9.0,15.0,"Not useful for my needs, cancelling.",1.0
90123460.0,24.0,M,Premium,7.0,135.0,1.0,80.0,Enjoying the experience!,0.0
72914723.0,34.0,M,Premium,36.0,180.5,2.0,65.4,"Really enjoy the service, very reliable.",0.0
57964219.0,28.0,F,Standard,5.0,50.0,3.0,45.0,Could be better but it's okay.,1.0
31472905.0,45.0,F,Basic,12.0,20.0,0.0,20.5,"Good for basic needs, not much else.",0.0
41238567.0,19.0,M,Basic,2.0,15.0,7.0,15.5,"Not what I expected, disappointed.",1.0
65483912.0,52.0,F,Premium,24.0,150.0,1.0,90.0,Great features and usability!,0.0
82134957.0,38.0,M,Standard,7.0,75.0,6.0,40.0,"Service is okay, needs improvements.",1.0
90714523.0,47.0,F,Premium,33.0,200.0,1.0,100.0,"Excellent, exceeded my expectations.",0.0
27351460.0,22.0,M,Basic,1.0,15.0,9.0,18.5,"Not worth the money, will cancel.",1.0
10473215.0,29.0,M,Standard,18.0,45.0,4.0,30.0,Decent service but has issues.,0.0
45630821.0,55.0,F,Premium,44.0,190.0,2.0,110.0,Best service I’ve used so far!,0.0
86234719.0,31.0,M,Basic,3.0,20.0,15.0,12.0,"Very slow, not responsive at all.",1.0
79213486.0,60.0,F,Premium,40.0,200.0,0.0,120.0,"I love it, never a problem!",0.0
51428970.0,24.0,M,Standard,2.0,55.0,8.0,35.5,"Could not meet my needs, will leave.",1.0
23514768.0,37.0,F,Basic,6.0,18.0,11.0,22.0,"Not bad, but could use more features.",0.0
38965421.0,41.0,M,Premium,48.0,195.0,1.0,85.0,"Fantastic service, highly recommend!",0.0
67924538.0,20.0,F,Basic,1.0,15.0,5.0,15.0,Disappointing experience overall.,1.0
29487956.0,50.0,M,Standard,30.0,70.0,0.0,50.0,"Satisfactory, but nothing special.",0.0
48125693.0,27.0,F,Premium,35.0,160.0,2.0,95.0,"Love the content, great quality!",0.0
98312457.0,34.0,M,Basic,4.0,25.0,10.0,28.0,"Not impressed, failed expectations.",1.0
51276390.0,64.0,F,Standard,21.0,80.0,4.0,65.0,"It's okay, but I expected more.",0.0
86432045.0,42.0,M,Premium,12.0,190.0,3.0,80.0,"Wonderful service, I trust it.",0.0
13579246.0,29.0,F,Basic,2.0,18.0,9.0,10.0,"Unsatisfied, wouldn't recommend.",1.0
76239481.0,39.0,M,Standard,11.0,55.0,6.0,45.0,"Average service, could be better.",0.0
84761232.0,30.0,F,Premium,37.0,170.0,1.0,70.0,Best decision I ever made!,0.0
47612830.0,25.0,M,Basic,5.0,20.0,12.0,20.0,"Terrible support, not worth it.",1.0
25873814.0,48.0,F,Standard,32.0,65.0,0.0,60.0,"Really appreciate the effort, solid!",0.0
34792815.0,21.0,M,Basic,1.0,15.0,14.0,16.0,"Very frustrating experience, cancelling.",1.0
24056173.0,56.0,F,Premium,39.0,200.0,2.0,120.0,Absolutely love the services offered!,0.0
80129476.0,19.0,M,Basic,2.0,15.0,11.0,13.0,"Not what I hoped for, I'm leaving.",1.0
31267894.0,40.0,F,Standard,27.0,85.0,1.0,55.0,"It works, but room for improvement.",0.0
65983124.0,32.0,M,Premium,38.0,175.0,0.0,95.0,"Just amazing, no issues at all!",0.0
75392014.0,25.0,F,Basic,3.0,30.0,9.0,18.5,"Poor content, won't renew my subscription.",1.0
84156927.0,45.0,M,Standard,15.0,60.0,5.0,35.0,Good but I expected more quality.,0.0
18634952.0,26.0,F,Premium,24.0,150.0,3.0,85.0,"Excellent features, well worth the price.",0.0
39485120.0,22.0,M,Basic,2.0,19.0,15.0,14.0,"Not satisfied, needs to improve a lot.",1.0
56097243.0,63.0,F,Premium,36.0,185.0,0.0,105.0,"Very reliable, can’t imagine life without.",0.0
41275639.0,39.0,M,Standard,9.0,70.0,6.0,40.5,Satisfactory but sometimes slow.,0.0
21956789.0,30.0,F,Basic,1.0,15.0,8.0,15.0,"Very disappointed, not worth my time.",1.0
97458123.0,51.0,M,Premium,44.0,190.0,1.0,100.0,I enjoy every bit of it!,0.0
56398241.0,38.0,F,Basic,5.0,25.0,12.0,25.0,"Not impressed, I'm thinking of leaving.",1.0
48251926.0,34.0,M,Standard,12.0,75.5,2.0,45.3,Good service but could be better.,0.0
65984321.0,22.0,F,Basic,2.0,30.0,7.0,15.4,Not worth the money right now.,1.0
